"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
1885251,"December 22, 2020",Mississippi,Meridian,"Jeffrey Acres Rd",4,0,1,0,0,N/A
1842362,"November 3, 2020",Nevada,Henderson,"1445 Stonelake Cove Ave",3,1,1,0,0,N/A
1794138,"September 13, 2020",Tennessee,Beechgrove,"I-24 and Beech Grove Rd",2,3,1,0,0,N/A
1718847,"June 27, 2020",California,"Red Bluff","10815 State Hwy 99W",2,4,1,0,0,N/A
1701714,"June 10, 2020",California,"Paso Robles","900 Park St",1,4,1,0,0,N/A
1693246,"May 30, 2020",Florida,Altha,"21281 Apachee Rd",1,4,1,0,0,N/A
1683810,"May 20, 2020",Texas,Houston,"6918 Landor St",1,3,1,0,0,N/A
1652328,"April 4, 2020",Florida,Hialeah,"W 69th St and 24th Ave",0,4,1,0,0,N/A
1640317,"March 15, 2020",Missouri,Springfield,"2885 E Chestnut Expressway",4,2,1,0,0,N/A
1573754,"December 17, 2019",Montana,"Great Falls","1701 10th Ave S",3,1,1,0,0,N/A
1568230,"December 10, 2019","New Jersey","Jersey City","223 Martin Luther King Dr",4,3,2,0,0,N/A
1565216,"December 6, 2019",Florida,Pensacola,"280 Taylor Rd",3,8,1,0,0,N/A
1543835,"November 7, 2019",Georgia,Conyers,"1800 block of Green St",1,3,1,0,0,N/A
1492441,"August 31, 2019",Texas,Odessa,"8250 TX 191",7,23,1,0,0,N/A
1460448,"July 28, 2019",California,Gilroy,"7050 Miller Ave",3,17,1,0,0,N/A
1410442,"May 31, 2019",Virginia,"Virginia Beach","2405 Courthouse Drive",12,4,1,0,0,N/A
1408289,"May 29, 2019",Texas,Cleveland,"26311 TX-321",2,2,1,0,0,N/A
1362715,"April 4, 2019",Georgia,Stockbridge,"300 block of Eagle Ct",2,2,1,0,0,N/A
1329075,"February 17, 2019",Louisiana,"New Orleans","Tulane Ave and Elk Pl",0,5,1,0,0,N/A
1328562,"February 16, 2019",Mississippi,Clinton,"1214 Foxhill Dr",4,0,1,0,0,N/A
1327321,"February 15, 2019",Illinois,Aurora,"641 Archer Ave",5,6,1,0,0,N/A
1249561,"November 7, 2018",California,"Thousand Oaks","99 Rolling Oaks Dr",12,2,1,0,0,N/A
1213223,"September 19, 2018",Wisconsin,Middleton,"1850 Deming Way",0,4,1,0,0,N/A
1213293,"September 19, 2018",Pennsylvania,Masontown,"1 E Church St",0,4,1,0,0,N/A
1209006,"September 12, 2018",California,Bakersfield,"660 Manwell Blvd",5,0,1,0,0,N/A
1204538,"September 6, 2018",Ohio,Cincinnati,"511 Walnut St",3,2,1,0,0,N/A
1142789,"June 17, 2018","New Jersey",Trenton,"635 S Clinton Ave",0,17,1,2,2,N/A
1138324,"June 11, 2018",Florida,Orlando,"4932 Eaglesmere Dr",5,0,1,0,0,N/A
1112948,"May 11, 2018",Oklahoma,Talihina,"2nd St and Dallas St",0,4,1,0,0,N/A
1074886,"March 21, 2018",California,"San Francisco","949 Geneva Ave",0,5,1,0,0,N/A
1047761,"February 11, 2018",Michigan,Detroit,"19432 Lamont St",3,3,1,0,1,N/A
1044234,"February 7, 2018",Florida,"Lake Worth (Lantana)","I-95 and W Lantana Rd",2,3,1,0,0,N/A
1043447,"February 5, 2018",Colorado,"Colorado Springs","4225 Galley Rd",1,4,1,0,0,N/A
1017372,"December 31, 2017",Colorado,"Littleton (Highlands Ranch)","3404 E County Line Rd",1,6,1,0,0,N/A
987611,"November 14, 2017",California,Corning,"17357 Stagecoach Rd",5,12,1,0,0,N/A
946496,"October 1, 2017",Nevada,"Las Vegas","3950 Las Vegas Blvd S",60,439,1,0,0,N/A
930569,"September 10, 2017",Texas,Plano,"1712 West Spring Creek Parkway",8,1,1,0,0,N/A
883058,"July 5, 2017",Maine,Madison,"300 block of Russell Rd",3,1,1,0,0,N/A
870095,"June 18, 2017",Missouri,"Saint Louis","1900 block of N 14th St",2,2,1,0,0,N/A
866739,"June 14, 2017",Virginia,Alexandria,"420 E Monroe Ave",0,5,1,0,0,N/A
866933,"June 14, 2017",California,"San Francisco","720 San Bruno",3,2,1,0,0,N/A
833152,"May 1, 2017",Texas,Dallas,"3200 block of Reynolds Ave",1,3,1,0,0,N/A
832679,"April 30, 2017",California,"San Diego","9080 Judicial Dr",1,6,1,0,0,N/A
800363,"March 22, 2017",Wisconsin,Rothschild,"1133 E Grand Ave",4,0,1,0,0,N/A
700232,"November 13, 2016",California,"San Diego","3800 block of Marlborough Avenue",2,2,1,0,0,N/A
683142,"October 23, 2016",Oklahoma,Wellston,"Highway 66 and N 3310 Rd",1,4,1,0,1,N/A
663106,"September 26, 2016",Texas,Houston,"5450 Weslayan St",0,6,1,0,0,N/A
657023,"September 16, 2016",Pennsylvania,Philadelphia,"5100 block of Sansom St",1,5,1,0,0,N/A
604762,"July 17, 2016",Louisiana,"Baton Rouge","9611 Airline Hwy",4,2,1,0,0,N/A
600398,"July 11, 2016",Michigan,"Saint Joseph","811 Port St",2,2,1,0,0,N/A
577157,"June 12, 2016",Florida,Orlando,"1912 S Orange Ave",49,53,1,0,0,N/A
572766,"June 5, 2016",Arizona,Phoenix,"8152 N Black Canyon Hwy",2,3,0,1,0,N/A
572696,"June 5, 2016",Florida,"Cape Coral","2600 block of Skyline Boulevard S",2,3,1,0,0,N/A
567614,"May 29, 2016",Texas,Houston,"13210 Memorial Dr",1,6,1,0,0,N/A
543441,"April 19, 2016",Alabama,Blountsville,"81551 US Highway 278",0,4,1,0,0,N/A
512073,"February 26, 2016",Washington,Belfair,"300 block of Horseshoe Rd",4,0,1,0,0,N/A
511436,"February 25, 2016",Kansas,Hesston,"200 S Ridge Rd",3,14,1,0,0,N/A
509897,"February 23, 2016",Arizona,Glendale,"4812 West Sunnyside Ave",4,0,1,0,0,N/A
508113,"February 20, 2016",Mississippi,Iuka,"231 Co Rd 201",1,3,1,0,0,N/A
456893,"December 2, 2015",California,"San Bernardino","1365 South Waterman Ave",14,19,2,0,0,N/A
452007,"November 23, 2015",Ohio,Columbus,"90 block of S Terrace Ave",3,1,1,0,0,N/A
423223,"October 1, 2015",Oregon,Roseburg,"1140 Umpqua College Rd",9,9,1,0,0,N/A
390914,"August 8, 2015","North Carolina",Gastonia,"4908 Greenwood Dr",1,3,1,0,0,N/A
373095,"July 12, 2015",Illinois,"River Forest","116 Lathrop Ave",1,3,1,0,0,N/A
350182,"May 31, 2015",Georgia,Conyers,"4669 Bell Road SE",2,2,1,0,0,N/A
341622,"May 17, 2015",Texas,Waco,"4671 S Jack Kultgen Fwy",9,18,0,0,0,N/A
296121,"February 22, 2015",Georgia,Clarkesville,"281 Lower Pond Court",2,2,1,0,0,N/A
282186,"December 22, 2014","New York",Webster,"191 Lake Rd",3,2,1,0,0,N/A
176329,"July 30, 2014","North Carolina","Hope Mills","5109 New Moon Dr",2,4,1,0,0,N/A
138282,"May 23, 2014",California,Goleta,"840 Embarcadero del Norte",3,7,1,0,0,N/A
97407,"January 16, 2014",Oklahoma,Ardmore,"H St NE and Martin Luther King Blvd",1,4,1,0,0,N/A
480366,"September 16, 2013","District of Columbia","Washington Navy Yard","1336 Isaac Hull Ave",12,3,1,0,0,N/A
491265,"July 26, 2013",Florida,Hialeah,"1485 W 46th St",6,0,1,0,0,N/A
489581,"June 7, 2013",California,"Santa Monica","2036 Yorkshire Ave",5,1,1,0,0,N/A
485811,"April 24, 2013",Illinois,Manchester,"East Street",5,1,1,0,0,N/A
484333,"April 21, 2013",Washington,"Federal Way","33311 18th Ln S",4,0,1,0,0,N/A
482856,"March 13, 2013","New York",Mohawk,"17 W Main St",4,2,1,0,0,N/A
480327,"February 11, 2013",Delaware,Wilmington,"500 North King St",2,2,1,0,0,N/A
2930510,"February 3, 2013",California,Irvine,"2100 Scholarship",4,5,1,0,0,N/A
